NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Josh Minott,0.5,0.2,0.3,0.33,0.307,0.693
Sam Hauser,0.5,1.0,0.7,0.6,0.558,0.442
Kyle Kuzma,0.5,0.8,0.6,0.67,0.615,0.385
Amen Thompson,1.5,0.4,0.4,0.47,0.425,0.575
Reed Sheppard,1.5,0.2,0.3,0.47,0.433,0.567
Ivica Zubac,0.5,0.4,0.3,0.4,0.302,0.698
Aaron Holiday,0.5,0.6,0.5,0.4,0.481,0.519
Jordan Poole,0.5,0.4,0.2,0.13,0.246,0.754
Maxime Raynaud,0.5,0.2,0.3,0.33,0.27,0.73
Spencer Jones,0.5,0.4,0.4,0.47,0.393,0.607
Caris LeVert,0.5,0.4,0.4,0.53,0.407,0.593
Julius Randle,0.5,0.2,0.3,0.53,0.481,0.519
Quinten Post,0.5,0.2,0.5,0.47,0.573,0.427
Paolo Banchero,0.5,0.4,0.5,0.53,0.443,0.557
Jordan Clarkson,0.5,0.4,0.3,0.33,0.308,0.692
Cason Wallace,1.5,0.6,0.6,0.67,0.674,0.326
